defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
4,2,5,2,73.90442245
4,2,1,3,58.58156729
4,2,2,3,42.84209607
4,2,3,3,37.98964834
4,2,4,3,36.90544342
4,2,5,3,56.06286056
4,2,1,4,53.3111339
4,2,2,4,42.36725444
4,2,3,4,37.40207921
4,2,4,4,36.92622422
4,2,5,4,50.36189175
4,2,1,5,51.11766597
4,2,2,5,42.15523291
4,2,3,5,37.18770958
4,2,4,5,36.95573239
4,2,5,5,47.95576411
4,2,1,6,51.0931272
4,2,2,6,42.15326468
4,2,3,6,37.07996747
4,2,4,6,36.99677812
4,2,5,6,47.8601994
4,2,1,7,53.30156192
4,2,2,7,42.36065737
4,2,3,7,37.0201805
4,2,4,7,37.05420857
4,2,5,7,49.98033971
4,2,1,8,58.54702206
4,2,2,8,42.82691162
4,2,3,8,36.98999825
4,2,4,8,37.13770626
4,2,5,8,55.10322292
4,2,1,9,69.50006679
4,2,2,9,43.57575957
4,2,3,9,36.95860871
4,2,4,9,37.23859898
4,2,5,9,66.08247628
4,2,1,10,96.67185462
4,2,2,10,44.54177474
4,2,3,10,36.94840716
4,2,4,10,37.3904476
4,2,5,10,95.21866637
5,2,1,3,86.95144623
5,2,2,3,72.01861119
5,2,3,3,67.21785796
5,2,4,3,68.22658281
5,2,5,3,67.17303868
5,2,1,4,81.60254615
5,2,2,4,71.45444766
5,2,3,4,66.13742363
5,2,4,4,66.74372127
5,2,5,4,67.96829239
5,2,1,5,79.4241211
5,2,2,5,71.17024544
5,2,3,5,65.86551239
5,2,4,5,66.32343893
5,2,5,5,69.2417459
5,2,1,6,79.52579266
5,2,2,6,71.12497192
5,2,3,6,65.76401159
5,2,4,6,66.14427104
5,2,5,6,71.35617118
5,2,1,7,81.83576511
5,2,2,7,71.29812614
5,2,3,7,65.73362434
5,2,4,7,66.07314687
5,2,5,7,74.88286188
5,2,1,8,87.11945562
5,2,2,8,71.73422424
5,2,3,8,65.71464508
5,2,4,8,66.05315853
5,2,5,8,80.83389433
5,2,1,9,97.96410347
5,2,2,9,72.52464319
5,2,3,9,65.69310983
5,2,4,9,66.08247635
5,2,5,9,92.50475727
5,2,1,10,124.9972514
5,2,2,10,73.41530724
5,2,3,10,65.69051763
5,2,4,10,66.19821789
5,2,5,10,122.5368213
1,3,2,3,87.46589427
1,3,3,3,58.26391248
1,3,4,3,58.50384407
1,3,5,3,75.9138999
1,3,1,4,60.84893649
1,3,2,4,74.85958974
1,3,3,4,58.14842048
1,3,4,4,58.44972275
1,3,5,4,70.72149853
1,3,1,5,62.52808273
1,3,2,5,69.16913928
1,3,3,5,58.1137777
1,3,4,5,58.42026624
1,3,5,5,68.6165271
1,3,1,6,65.01392605
1,3,2,6,65.97530785
1,3,3,6,58.07997935
1,3,4,6,58.41964213
1,3,5,6,68.70405452
1,3,1,7,68.90855546
1,3,2,7,64.25381024
1,3,3,7,58.04875062
1,3,4,7,58.43604566
1,3,5,7,70.91533317
1,3,1,8,75.30650078
1,3,2,8,63.60152733
1,3,3,8,58.02690423
1,3,4,8,58.47494007
1,3,5,8,76.10621468
1,3,1,9,87.33262323
1,3,2,9,63.81351029
1,3,3,9,58.01377751
1,3,4,9,58.54702245
1,3,5,9,87.11945599
1,3,1,10,116.1955965
1,3,2,10,64.6037644
1,3,3,10,58.00465213
1,3,4,10,58.6413925
1,3,5,10,116.1243961
2,3,3,3,42.76549451
2,3,4,3,42.66498925
2,3,5,3,60.82296612
2,3,1,4,68.20238807
2,3,2,4,42.72527618
2,3,3,4,42.5937189
2,3,4,4,42.65234155
2,3,5,4,55.56985224
2,3,1,5,60.62649735
2,3,2,5,43.17582668
2,3,3,5,42.48518785
2,3,4,5,42.64797707
2,3,5,5,53.38096363
2,3,1,6,58.0195834
2,3,2,6,43.67662847
2,3,3,6,42.40406374
2,3,4,6,42.64505082
2,3,5,6,53.34135408
2,3,1,7,58.93431347
2,3,2,7,44.29807801
2,3,3,7,42.3525561
2,3,4,7,42.68793721
2,3,5,7,55.50721824
2,3,1,8,63.60152775
2,3,2,8,45.16952866
2,3,3,8,42.32381664
2,3,4,8,42.7671352
2,3,5,8,60.67319038
2,3,1,9,74.3662878
2,3,2,9,46.27939178
2,3,3,9,42.33903503
2,3,4,9,42.82691172
2,3,5,9,71.73422353
2,3,1,10,102.107253
2,3,2,10,47.84019552
2,3,3,10,42.36015106
2,3,4,10,42.96311304
2,3,5,10,100.998722
3,3,4,3,45.57894828
3,3,5,3,59.97980568
3,3,1,4,52.95781748
3,3,2,4,42.12954976
3,3,3,4,36.21580735
3,3,4,4,37.94840196
3,3,5,4,50.49224994
3,3,1,5,50.70477125
3,3,2,5,41.82083487
3,3,3,5,36.22132226
3,3,4,5,37.29894617
3,3,5,5,47.85734248
3,3,1,6,50.63857821
3,3,2,6,41.76717763
3,3,3,6,36.19502168
3,3,4,6,37.08574916
3,3,5,6,47.72628101
3,3,1,7,52.81315536
3,3,2,7,41.89957355
3,3,3,7,36.20925053
3,3,4,7,36.95406439
3,3,5,7,49.74237982
3,3,1,8,58.02690416
3,3,2,8,42.34742449
3,3,3,8,36.21972208
3,3,4,8,36.98346367
3,3,5,8,54.80732766
3,3,1,9,68.89359094
3,3,2,9,43.0656102
3,3,3,9,36.23842111
3,3,4,9,36.98999824
3,3,5,9,65.71464412
3,3,1,10,96.06405119
3,3,2,10,43.96116067
3,3,3,10,36.28952852
3,3,4,10,37.06348003
3,3,5,10,94.722694
4,3,5,3,62.28657099
4,3,1,4,53.23396685
4,3,2,4,42.23504853
4,3,3,4,38.02951119
4,3,4,4,36.80572861
4,3,5,4,50.86201393
4,3,1,5,51.04278073
4,3,2,5,42.04468368
4,3,3,5,37.36481747
4,3,4,5,36.76734175
4,3,5,5,48.20659217
4,3,1,6,51.01999362
4,3,2,6,42.04251983
4,3,3,6,37.14283388
4,3,4,6,36.83007743
4,3,5,6,47.97990696
4,3,1,7,53.22913941
4,3,2,7,42.27198801
4,3,3,7,37.02317993
4,3,4,7,36.92951888
4,3,5,7,50.01647247
4,3,1,8,58.47493997
4,3,2,8,42.76713576
4,3,3,8,36.95995312
4,3,4,8,37.0365649
4,3,5,8,55.10354781
4,3,1,9,69.442075
4,3,2,9,43.49160183
4,3,3,9,36.95606538
4,3,4,9,37.13770621
4,3,5,9,66.05315894
4,3,1,10,96.60597597
4,3,2,10,44.48451371
4,3,3,10,36.93373021
4,3,4,10,37.32065956
4,3,5,10,95.19612978
5,3,1,4,70.67913794
5,3,2,4,60.29530408
5,3,3,4,56.36781039
5,3,4,4,57.1396437
5,3,5,4,56.20127859
5,3,1,5,68.52013231
5,3,2,5,60.05549672
5,3,3,5,55.20577607
5,3,4,5,55.67213081
5,3,5,5,57.5027913
5,3,1,6,68.60295318
5,3,2,6,60.03260018
5,3,3,6,54.94277061
5,3,4,6,55.32077686
5,3,5,6,59.64575017
5,3,1,7,70.83664649
5,3,2,7,60.22282924
5,3,3,7,54.87138773
5,3,4,7,55.1603345
5,3,5,7,63.20670503
5,3,1,8,76.10621589
5,3,2,8,60.6731896
5,3,3,8,54.79581558
5,3,4,8,55.10354826
5,3,5,8,69.15626038
5,3,1,9,86.97879973
5,3,2,9,61.47733492
5,3,3,9,54.76814171
5,3,4,9,55.10322246
5,3,5,9,80.83389415
5,3,1,10,113.9326743
5,3,2,10,62.38636117
5,3,3,10,54.7435674
5,3,4,10,55.21874349
5,3,5,10,110.8780126
1,4,2,4,78.29472243
1,4,3,4,53.00159974
1,4,4,4,53.20837599
1,4,5,4,65.58675851
1,4,1,5,55.83408382
1,4,2,5,68.34922872
1,4,3,5,52.90241045
1,4,4,5,53.16962153
1,4,5,5,63.4492676
1,4,1,6,58.47426596
1,4,2,6,63.39865504
1,4,3,6,52.89006103
1,4,4,6,53.17153195
1,4,5,6,63.51979775
1,4,1,7,62.49848211
1,4,2,7,60.47233533
1,4,3,7,52.83080772
1,4,4,7,53.18945087
1,4,5,7,65.68082074
1,4,1,8,68.90855581
1,4,2,8,58.93431553
1,4,3,8,52.81315479
1,4,4,8,53.22913922
1,4,5,8,70.83664679
1,4,1,9,80.94829496
1,4,2,9,58.61840374
1,4,3,9,52.79149399
1,4,4,9,53.3015611
1,4,5,9,81.83576302
1,4,1,10,109.8884862
1,4,2,10,59.31074175
1,4,3,10,52.77556807
1,4,4,10,53.39676731
1,4,5,10,110.7936416
2,4,3,4,42.21694618
2,4,4,4,42.11880475
2,4,5,4,55.08446961
2,4,1,5,65.49694708
2,4,2,5,42.27073893
2,4,3,5,42.10732785
2,4,4,5,42.14666227
2,4,5,5,52.90930685
2,4,1,6,60.85592637
2,4,2,6,42.77799492
2,4,3,6,42.01679276
2,4,4,6,42.18041749
2,4,5,6,52.877109
2,4,1,7,60.47233468
2,4,2,7,43.44077046
2,4,3,7,41.94425625
2,4,4,7,42.20062147
2,4,5,7,55.04888266
2,4,1,8,64.25381132
2,4,2,8,44.29807646
2,4,3,8,41.89957179
2,4,4,8,42.27198883
2,4,5,8,60.22282861
2,4,1,9,74.58497852
2,4,2,9,45.40259082
2,4,3,9,41.93098869
2,4,4,9,42.36065842
2,4,5,9,71.29812719
2,4,1,10,102.2898318
2,4,2,10,46.94427591
2,4,3,10,41.91246069
2,4,4,10,42.46514817
2,4,5,10,100.6014242
3,4,4,4,44.76873871
3,4,5,4,54.65141941
3,4,1,5,50.74597866
3,4,2,5,41.89908581
3,4,3,5,36.2037572
3,4,4,5,37.98243401
3,4,5,5,48.47453104
3,4,1,6,50.68347038
3,4,2,6,41.81091815
3,4,3,6,36.18831279
3,4,4,6,37.32047445
3,4,5,6,47.97639839
3,4,1,7,52.84537275
3,4,2,7,41.9442551
3,4,3,7,36.19990647
3,4,4,7,37.1083348
3,4,5,7,49.85400621
3,4,1,8,58.04875058
3,4,2,8,42.37507893
3,4,3,8,36.22322419
3,4,4,8,37.0231791
3,4,5,8,54.87138805
3,4,1,9,68.92321371
3,4,2,9,43.08342021
3,4,3,9,36.24274689
3,4,4,9,37.0007024
3,4,5,9,65.73362374
3,4,1,10,96.06624731
3,4,2,10,44.01543296
3,4,3,10,36.27544594
3,4,4,10,37.02388542
3,4,5,10,94.73297097
4,4,5,4,56.65180526
4,4,1,5,50.99937618
4,4,2,5,41.97466644
4,4,3,5,38.01364188
4,4,4,5,36.73916735
4,4,5,5,48.90408144
4,4,1,6,50.97914294
4,4,2,6,41.99403627
4,4,3,6,37.34214386
4,4,4,6,36.71590689
4,4,5,6,48.22920639
4,4,1,7,53.18945034
4,4,2,7,42.2006225
4,4,3,7,37.1083341
4,4,4,7,36.79750122
4,4,5,7,50.15894865
4,4,1,8,58.43604625
4,4,2,8,42.68793832
4,4,3,8,36.96869337
4,4,4,8,36.92951863
4,4,5,8,55.16033568
4,4,1,9,69.40404633
4,4,2,9,43.44444189
4,4,3,9,36.92602735
4,4,4,9,37.05420879
4,4,5,9,66.07314614
4,4,1,10,96.57303468
4,4,2,10,44.43441053
4,4,3,10,36.88433964
4,4,4,10,37.11004004
4,4,5,10,95.21413626
5,4,1,5,63.42961219
5,4,2,5,54.86120781
5,4,3,5,51.09582368
5,4,4,5,51.72725992
5,4,5,5,51.4333335
5,4,1,6,63.46391307
5,4,2,6,54.84982127
5,4,3,6,50.09262343
5,4,4,6,50.44191918
5,4,5,6,53.61085619
5,4,1,7,65.68081978
5,4,2,7,55.04888245
5,4,3,7,49.85400506
5,4,4,7,50.15894729
5,4,5,7,57.21829131
5,4,1,8,70.91533348
5,4,2,8,55.50721844
5,4,3,8,49.74237926
5,4,4,8,50.01647088
5,4,5,8,63.20670478
5,4,1,9,81.78530857
5,4,2,9,56.30417607
5,4,3,9,49.67796299
5,4,4,9,49.98033969
5,4,5,9,74.88286228
5,4,1,10,108.658053
5,4,2,10,57.22631732
5,4,3,10,49.63785963
5,4,4,10,50.08696294
5,4,5,10,104.8681306
1,5,2,5,74.46763662
1,5,3,5,50.76679088
1,5,4,5,50.98216054
1,5,5,5,61.31785066
1,5,1,6,54.48403618
1,5,2,6,65.54759243
1,5,3,6,50.67502275
1,5,4,6,50.95896761
1,5,5,6,61.3278621
1,5,1,7,58.47426503
1,5,2,7,60.85592777
1,5,3,7,50.68346865
