defect1_1,defect1_2,defect2_1,defect2_2,total_voltage,,
2,3,2,4,3739.760824,,
2,3,3,4,3751.948914,,
2,3,4,4,3751.643176,,
2,3,5,4,3715.215807,,
2,3,1,5,3773.319912,,
2,3,2,5,3897.401283,,
2,3,3,5,3877.735543,,
2,3,4,5,3875.4293,,
2,3,5,5,3762.767809,,
2,3,1,6,3780.711632,,
2,3,2,6,3863.581666,,
2,3,3,6,3877.154941,,
2,3,4,6,3875.759992,,
2,3,5,6,3780.31111,,
2,3,1,7,3777.784551,,
2,3,2,7,3860.686151,,
2,3,3,7,3877.459604,,
2,3,4,7,3876.196595,,
2,3,5,7,3784.329363,,
2,3,1,8,3765.747051,,
2,3,2,8,3869.543134,,
2,3,3,8,3891.726795,,
2,3,4,8,3893.685002,,
2,3,5,8,3781.592215,,
2,3,1,9,3716.387341,,
2,3,2,9,3881.288703,,
2,3,3,9,3926.465383,,
2,3,4,9,3921.847428,,
2,3,5,9,3744.742359,,
2,3,1,10,3413.562269,,
2,3,2,10,3510.170581,,
2,3,3,10,3526.30992,,
2,3,4,10,3524.886848,,
2,3,5,10,3421.260812,,
3,3,4,3,4373.502648,,
3,3,5,3,4144.058274,,
3,3,1,4,3727.295587,,
3,3,2,4,3758.291809,,
3,3,3,4,3762.388726,,
3,3,4,4,3762.147175,,
3,3,5,4,3730.163131,,
3,3,1,5,3779.260906,,
3,3,2,5,3884.232334,,
3,3,3,5,3917.993987,,
3,3,4,5,3916.316496,,
3,3,5,5,3795.773387,,
3,3,1,6,3797.115227,,
3,3,2,6,3883.398012,,
3,3,3,6,3901.915294,,
3,3,4,6,3900.698644,,
3,3,5,6,3807.645989,,
3,3,1,7,3798.823291,,
3,3,2,7,3882.587683,,
3,3,3,7,3899.959345,,
3,3,4,7,3898.737007,,
3,3,5,7,3808.165524,,
3,3,1,8,3787.945864,,
3,3,2,8,3891.726795,,
3,3,3,8,3917.234451,,
3,3,4,8,3915.994001,,
3,3,5,8,3804.421053,,
3,3,1,9,3738.899322,,
3,3,2,9,3903.697849,,
3,3,3,9,3948.951374,,
3,3,4,9,3944.308707,,
3,3,5,9,3767.46992,,
3,3,1,10,3436.222104,,
3,3,2,10,3532.551881,,
3,3,3,10,3548.546601,,
3,3,4,10,3547.134926,,
3,3,5,10,3443.892817,,
4,3,5,3,4144.218798,,
4,3,1,4,3729.469958,,
4,3,2,4,3760.990203,,
4,3,3,4,3765.207206,,
4,3,4,4,3764.340218,,
4,3,5,4,3732.157353,,
4,3,1,5,3780.278404,,
4,3,2,5,3885.04537,,
4,3,3,5,3919.339708,,
4,3,4,5,3918.933353,,
4,3,5,5,3798.289166,,
4,3,1,6,3798.460009,,
4,3,2,6,3885.272623,,
4,3,3,6,3904.041358,,
4,3,4,6,3902.828727,,
4,3,5,6,3809.619717,,
4,3,1,7,3800.37564,,
4,3,2,7,3884.59529,,
4,3,3,7,3902.091048,,
4,3,4,7,3900.864101,,
4,3,5,7,3809.920976,,
4,3,1,8,3789.595851,,
4,3,2,8,3893.685002,,
4,3,3,8,3915.994001,,
4,3,4,8,3917.98176,,
4,3,5,8,3806.117174,,
4,3,1,9,3740.525307,,
4,3,2,9,3905.481005,,
4,3,3,9,3950.68763,,
4,3,4,9,3946.071453,,
4,3,5,9,3769.010322,,
4,3,1,10,3437.760406,,
4,3,2,10,3534.372889,,
4,3,3,10,3550.51803,,
4,3,4,10,3549.095308,,
4,3,5,10,3445.4725,,
5,3,1,4,3662.833233,,
5,3,2,4,3704.772266,,
5,3,3,4,3712.638839,,
5,3,4,4,3711.827394,,
5,3,5,4,3663.179134,,
5,3,1,5,3661.870205,,
5,3,2,5,3752.519629,,
5,3,3,5,3778.70265,,
5,3,4,5,3778.308558,,
5,3,5,5,3751.253239,,
5,3,1,6,3682.275858,,
5,3,2,6,3769.980555,,
5,3,3,6,3790.772845,,
5,3,4,6,3789.812804,,
5,3,5,6,3713.221924,,
5,3,1,7,3688.951024,,
5,3,2,7,3774.745552,,
5,3,3,7,3793.188201,,
5,3,4,7,3792.016314,,
5,3,5,7,3703.084137,,
5,3,1,8,3682.637882,,
5,3,2,8,3781.592215,,
5,3,3,8,3804.421053,,
5,3,4,8,3806.117174,,
5,3,5,8,3700.120828,,
5,3,1,9,3633.88151,,
5,3,2,9,3799.287135,,
5,3,3,9,3844.436486,,
5,3,4,9,3839.883171,,
5,3,5,9,3662.308651,,
5,3,1,10,3331.031585,,
5,3,2,10,3428.211346,,
