defect1_1,defect1_2,defect2_1,defect2_2,total_power
5,1,2,7,12320.4145061357
5,1,3,7,11358.6678212907
5,1,4,7,11371.7136768882
5,1,5,7,9610.09294586846
5,1,1,8,7850.51905881111
5,1,2,8,12451.8346242513
5,1,3,8,11352.6225301188
5,1,4,8,11386.317611346
5,1,5,8,8841.24246885815
5,1,1,9,7829.5639076882
5,1,2,9,12716.0377758231
5,1,3,9,11349.6201483146
5,1,4,9,11415.9959035603
5,1,5,9,8505.35665991831
5,1,1,10,8537.89296663544
5,1,2,10,13109.4271974172
5,1,3,10,11347.4702722044
5,1,4,10,11461.1680728733
5,1,5,10,8837.44423487398
1,2,2,2,12230.5256613614
1,2,3,2,12895.1871021079
1,2,4,2,12866.1825803775
1,2,5,2,7590.70917659739
1,2,1,3,11795.4776701336
1,2,2,3,11152.0649830958
1,2,3,3,12498.089848599
1,2,4,3,12527.6836610363
1,2,5,3,7666.91099058408
1,2,1,4,11624.9651583121
1,2,2,4,11286.5325184733
1,2,3,4,12196.9826576289
1,2,4,4,12241.8315691965
1,2,5,4,8219.5105900461
1,2,1,5,11412.6684710686
1,2,2,5,11612.315234954
1,2,3,5,12033.0210768505
1,2,4,5,12085.7957066916
1,2,5,5,8410.9834119208
1,2,1,6,11123.2983421785
1,2,2,6,11870.3420759059
1,2,3,6,11947.3685689234
1,2,4,6,12006.8455122509
1,2,5,6,8360.92279380761
1,2,1,7,10694.8528928891
1,2,2,7,12094.9107001351
1,2,3,7,11907.2318302224
1,2,4,7,11975.7972217377
1,2,5,7,8074.68562160871
1,2,1,8,10073.2008772508
1,2,2,8,12351.7728722078
1,2,3,8,11891.9770387329
1,2,4,8,11978.2233423453
1,2,5,8,7485.4607164796
1,2,1,9,9947.90331998335
1,2,2,9,12725.5439284441
1,2,3,9,11886.7892311013
1,2,4,9,11997.2550079864
1,2,5,9,7287.41263358956
1,2,1,10,10534.7432890917
1,2,2,10,13250.8379045767
1,2,3,10,11884.6417819061
1,2,4,10,12031.9618422658
1,2,5,10,7829.56385936484
2,2,3,2,19951.674130433
2,2,4,2,19869.171623319
2,2,5,2,13336.7587959051
2,2,1,3,11671.6148741375
2,2,2,3,16815.4792333211
2,2,3,3,17542.4998753354
2,2,4,3,17634.2032825811
2,2,5,3,12758.7685380131
2,2,1,4,12522.3052836875
2,2,2,4,16870.0046650855
2,2,3,4,17144.9801301914
2,2,4,4,17221.4974340048
2,2,5,4,13138.510226274
2,2,1,5,13003.4687953143
2,2,2,5,16936.4768189538
2,2,3,5,16952.469470139
2,2,4,5,17021.3641130443
2,2,5,5,13298.9870393915
2,2,1,6,13177.4081998967
2,2,2,6,17014.2965755908
2,2,3,6,16842.3102601961
2,2,4,6,16909.4476655783
2,2,5,6,13244.0544336099
2,2,1,7,13074.0571785796
2,2,2,7,17130.5191085474
2,2,3,7,16785.9230083541
2,2,4,7,16857.3066772218
2,2,5,7,12958.6988044573
2,2,1,8,12691.8792692001
2,2,2,8,17312.452812682
2,2,3,8,16764.6557059174
2,2,4,8,16848.6149671435
2,2,5,8,12379.0881275873
2,2,1,9,12725.5442247178
2,2,2,9,17626.2623536514
2,2,3,9,16757.4323425062
2,2,4,9,16861.8448076438
2,2,5,9,12170.8161512138
2,2,1,10,13519.7199065846
2,2,2,10,18112.775063421
2,2,3,10,16750.770255012
2,2,4,10,16893.0821200461
2,2,5,10,12716.0379375616
3,2,4,2,20309.8308238968
3,2,5,2,13072.1719871507
3,2,1,3,12002.5144361584
3,2,2,3,16684.6998475771
3,2,3,3,15394.4409933433
3,2,4,3,15582.5256072671
3,2,5,3,11187.7892227053
3,2,1,4,12422.2751002486
3,2,2,4,16405.417190022
3,2,3,4,15394.3069688352
3,2,4,4,15507.3858936006
3,2,5,4,11635.1750313592
3,2,1,5,12626.246175595
3,2,2,5,16321.1613013492
