Current,X,Y,Voltage_Drop
300,3,10,6.91511559125502e-09
300,4,1,1.75650339997446e-05
300,4,2,2.49699816095017e-05
300,4,3,2.86670914420029e-05
300,4,4,3.0660511924907e-05
300,4,5,3.15575605327467e-05
300,4,6,3.15575613285546e-05
300,4,7,3.06605124933412e-05
300,4,8,2.86670909872555e-05
300,4,9,2.49699812684412e-05
300,4,10,1.75650342271183e-05
300,5,1,5.25040382505449
300,5,2,1.91656967165682
300,5,3,0.88107599073544
300,5,4,0.567313640730049
300,5,5,0.46434110703342
300,5,6,0.464341106978736
300,5,7,0.567313640525526
300,5,8,0.881075983640926
300,5,9,1.91656969158964
300,5,10,5.25040382509621
400,1,1,21.5814422548226
400,1,2,4.54426696459586
400,1,3,1.49803454476137
400,1,4,0.811419052501378
400,1,5,0.616531907987678
400,1,6,0.616531909915125
400,1,7,0.81141903807395
400,1,8,1.49803456448444
400,1,9,4.54426722277537
400,1,10,21.5814430082642
400,2,1,5.62208211931647e-05
400,2,2,7.06759698232418e-05
400,2,3,7.63371177754379e-05
400,2,4,7.90995924262461e-05
400,2,5,9.80707548023929e-05
400,2,6,9.80707525286562e-05
400,2,7,7.90995937904881e-05
400,2,8,7.6337119821801e-05
400,2,9,7.06759705053628e-05
400,2,10,5.62208232395278e-05
400,3,1,1.88462081496255e-08
400,3,2,3.47827153746039e-08
400,3,3,4.70530494567356e-08
400,3,4,5.53732206753921e-08
400,3,5,5.95961182625615e-08
400,3,6,5.9597141444101e-08
400,3,7,5.53728796148789e-08
400,3,8,4.70543000119505e-08
400,3,9,3.47811237588758e-08
400,3,10,1.88477997653536e-08
400,4,1,5.62057822435236e-05
400,4,2,7.06462104744787e-05
400,4,3,7.62916519079226e-05
400,4,4,7.90434816053676e-05
400,4,5,8.02308396714579e-05
400,4,6,8.02308398988316e-05
400,4,7,7.90434831969833e-05
400,4,8,7.62916508847411e-05
400,4,9,7.06462107018524e-05
400,4,10,5.62057830393314e-05
400,5,1,21.5825666824387
400,5,2,4.54639833011151
400,5,3,1.4971657461341
400,5,4,0.810443117893669
400,5,5,0.615608984172127
400,5,6,0.615608984823552
400,5,7,0.810443120584637
400,5,8,1.49716575458513
400,5,9,4.54639836822594
400,5,10,21.582566908884
500,1,1,40.1484375936045
500,1,2,7.06546324978058
500,1,3,2.15791399231057
500,1,4,1.16642456785894
500,1,5,0.896145826888187
500,1,6,0.896145834131403
500,1,7,1.16642459655282
500,1,8,2.15791405036521
500,1,9,7.06546326559351
500,1,10,40.1484374625961
500,2,1,0.00225674549938049
500,2,2,0.108727831031501
500,2,3,0.229214631344803
500,2,4,0.268594269437699
500,2,5,0.275260077917892
500,2,6,0.275260078882184
500,2,7,0.268594271562733
500,2,8,0.229214633601941
500,2,9,0.108727831260012
500,2,10,0.00225674550165422
500,3,1,9.18741989153204e-06
500,3,2,1.83323088549514e-05
500,3,3,2.60685733337596e-05
500,3,4,3.13402645133465e-05
500,3,5,3.39628043093398e-05
500,3,6,3.39628036272188e-05
500,3,7,3.13402647407202e-05
500,3,8,2.60685737885069e-05
500,3,9,1.83323072633357e-05
500,3,10,9.18742102840042e-06
500,4,1,0.000719116027312339
500,4,2,0.0208806897223894
500,4,3,0.0335135691977939
500,4,4,0.0343097876541378
500,4,5,0.0332443503498325
500,4,6,0.0332443503325521
500,4,7,0.0343097876741467
500,4,8,0.0335135691416326
500,4,9,0.0208806896287115
500,4,10,0.000719116027767086
500,5,1,40.1736394924321
500,5,2,6.89644101720455
500,5,3,1.95866586849229
500,5,4,0.992559466717239
500,5,5,0.736294280290622
500,5,6,0.736294280346556
500,5,7,0.99255946685912
500,5,8,1.95866586868169
500,5,9,6.89644101808676
500,5,10,40.1736395060697
600,1,1,60.0095804277371
600,1,2,11.3128375575989
600,1,3,4.02267359782377
600,1,4,2.49803969318918
600,1,5,2.07544686566689
600,1,6,2.07544686363758
600,1,7,2.4980396811477
600,1,8,4.02267362800399
600,1,9,11.3128376156919
600,1,10,60.0095807140763
600,2,1,0.603560404417067
600,2,2,2.36665331714858
600,2,3,1.78748143432722
600,2,4,1.52657725424842
600,2,5,1.44930749012769
600,2,6,1.4493074914069
600,2,7,1.52657725838958
600,2,8,1.78748144352744
600,2,9,2.36665333489827
600,2,10,0.603560406294719
600,3,1,4.92388430757273e-05
600,3,2,0.0113226947648855
600,3,3,0.330917989528189
600,3,4,0.777398922298062
600,3,5,0.990573268186154
600,3,6,0.990573267704349
600,3,7,0.777398922084785
600,3,8,0.330917990697799
600,3,9,0.0113226948124066
600,3,10,4.9238843985222e-05
600,4,1,0.104858793104995
600,4,2,0.306815163694182
600,4,3,0.495149528961292
600,4,4,0.802928438150502
600,4,5,0.988800386324783
600,4,6,0.988800386504181
600,4,7,0.802928439096377
600,4,8,0.495149530930348
600,4,9,0.306815164892896
600,4,10,0.104858793477661
600,5,1,59.5855857463941
600,5,2,9.49031487670914
600,5,3,2.99402323970367
600,5,4,1.86142986023265
600,5,5,1.58211556123206
600,5,6,1.58211556218703
600,5,7,1.861429863475
600,5,8,2.9940232471231
600,5,9,9.49031490952871
600,5,10,59.5855859873568
700,1,1,89.9590344160772
700,1,2,39.7980111616807
700,1,3,34.6482322845841
700,1,4,34.0715192039061
700,1,5,33.9934410384494
700,1,6,33.9934410384856
700,1,7,34.0715192039804
700,1,8,34.6482322846668
700,1,9,39.7980111617369
