defect1_1,defect1_2,defect2_1,defect2_2,total_power
5,1,3,8,3134.57779016429
5,1,4,8,3149.80270122511
5,1,5,8,2762.46050665336
5,1,1,9,1559.04996490345
5,1,2,9,3559.33626651593
5,1,3,9,3134.68757629071
5,1,4,9,3155.73876823832
5,1,5,9,2835.26138863808
5,1,1,10,1704.14397294445
5,1,2,10,3570.57937428081
5,1,3,10,3134.9523101938
5,1,4,10,3161.80852301406
5,1,5,10,3015.63601818463
1,2,2,2,2984.78832049332
1,2,3,2,3092.18817580419
1,2,4,2,3126.420477553
1,2,5,2,1124.6427659658
1,2,1,3,3098.56381376368
1,2,2,3,3008.30188149251
1,2,3,3,3085.73911785902
1,2,4,3,3119.87520543128
1,2,5,3,1021.22095775662
1,2,1,4,3041.46680040921
1,2,2,4,3034.28589055187
1,2,3,4,3082.6890628011
1,2,4,4,3116.94963604433
1,2,5,4,949.655973204561
1,2,1,5,2989.09415338762
1,2,2,5,3059.1191381569
1,2,3,5,3083.53585351779
1,2,4,5,3115.70692876887
1,2,5,5,936.049295979435
1,2,1,6,2959.73398652231
1,2,2,6,3100.19579160969
1,2,3,6,3082.37607459797
1,2,4,6,3115.56655902738
1,2,5,6,969.77850076209
1,2,1,7,2957.20562334797
1,2,2,7,3157.51908767124
1,2,3,7,3082.62452524047
1,2,4,7,3116.53034943357
1,2,5,7,1043.38290789626
1,2,1,8,3001.76730616103
1,2,2,8,3225.65006626879
1,2,3,8,3082.21846439459
1,2,4,8,3118.9556061658
1,2,5,8,1152.5731924601
1,2,1,9,3098.11527718084
1,2,2,9,3307.93620485028
1,2,3,9,3082.40943930059
1,2,4,9,3121.57840722805
1,2,5,9,1299.84557578029
1,2,1,10,3197.67249599191
1,2,2,10,3383.77445737102
1,2,3,10,3082.71188103339
1,2,4,10,3123.90185437329
1,2,5,10,1559.04998961795
2,2,3,2,4999.879696201
2,2,4,2,5009.27373915748
2,2,5,2,3305.79481671209
2,2,1,3,2736.34594411578
2,2,2,3,5011.91226864357
2,2,3,3,4987.3816701498
2,2,4,3,5005.67171342239
2,2,5,3,3135.10474833916
2,2,1,4,2673.57593778752
2,2,2,4,5036.42201477681
2,2,3,4,4979.86589535924
2,2,4,4,4999.53459436922
2,2,5,4,3028.40653738232
2,2,1,5,2716.97066469741
2,2,2,5,5050.26023517473
2,2,3,5,4975.76461817658
2,2,4,5,4997.80657554448
2,2,5,5,2978.69466613501
2,2,1,6,2815.08349039423
2,2,2,6,5079.29623020952
2,2,3,6,4971.95004750288
2,2,4,6,4997.72398377902
2,2,5,6,2974.86787238749
2,2,1,7,2948.06104507178
2,2,2,7,5117.10078676547
2,2,3,7,4970.91146187488
2,2,4,7,4997.61637395793
2,2,5,7,3022.53781204947
2,2,1,8,3118.98479249879
2,2,2,8,5173.22720940655
2,2,3,8,4969.63387252262
2,2,4,8,5001.05066367789
2,2,5,8,3124.80808318863
2,2,1,9,3307.93619108334
2,2,2,9,5242.48607899745
2,2,3,9,4972.54904934732
2,2,4,9,5006.78176481245
2,2,5,9,3279.46524335697
2,2,1,10,3531.25614192097
2,2,2,10,5297.69440640377
2,2,3,10,4973.4471781997
