defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
4,1,5,10,619.5631606
5,1,1,2,895.5927444
5,1,2,2,985.6511359
5,1,3,2,955.1273571
5,1,4,2,952.4119046
5,1,5,2,855.8310627
5,1,1,3,889.2887104
5,1,2,3,955.6351578
5,1,3,3,962.7430714
5,1,4,3,963.826942
5,1,5,3,955.3151093
5,1,1,4,892.6047867
5,1,2,4,950.126993
5,1,3,4,966.081862
5,1,4,4,967.4873982
5,1,5,4,987.0949627
5,1,1,5,901.7724032
5,1,2,5,957.3255263
5,1,3,5,974.4522226
5,1,4,5,975.499408
5,1,5,5,992.879828
5,1,1,6,903.452698
5,1,2,6,963.7718548
5,1,3,6,983.0167876
5,1,4,6,983.2168672
5,1,5,6,984.412094
5,1,1,7,894.6901976
5,1,2,7,966.941997
5,1,3,7,988.1599033
5,1,4,7,987.13475
5,1,5,7,963.8174087
5,1,1,8,872.2474961
5,1,2,8,960.4423067
5,1,3,8,981.0381742
5,1,4,8,979.1876511
5,1,5,8,928.0773499
5,1,1,9,814.8085414
5,1,2,9,911.6927474
5,1,3,9,920.8922662
5,1,4,9,919.7899857
5,1,5,9,850.8053481
5,1,1,10,681.7727808
5,1,2,10,647.524715
5,1,3,10,617.2097852
5,1,4,10,619.563159
5,1,5,10,680.1486418
1,2,2,2,1955.829728
1,2,3,2,1924.557713
1,2,4,2,1918.247784
1,2,5,2,1701.734259
1,2,1,3,1021.194939
1,2,2,3,1078.407872
1,2,3,3,1105.0016
1,2,4,3,1105.792829
1,2,5,3,1100.999788
1,2,1,4,1113.26346
1,2,2,4,1114.01898
1,2,3,4,1101.375824
1,2,4,4,1100.396862
1,2,5,4,1068.687068
1,2,1,5,1139.620361
1,2,2,5,1124.118296
1,2,3,5,1108.580879
1,2,4,5,1107.177919
1,2,5,5,1060.262605
1,2,1,6,1138.384605
1,2,2,6,1132.955202
1,2,3,6,1122.604854
1,2,4,6,1120.795954
1,2,5,6,1062.395583
1,2,1,7,1120.425221
1,2,2,7,1137.510466
1,2,3,7,1133.53092
1,2,4,7,1130.947328
1,2,5,7,1057.061075
1,2,1,8,1087.596542
1,2,2,8,1129.98737
1,2,3,8,1131.132418
1,2,4,8,1128.120344
1,2,5,8,1037.821385
1,2,1,9,1018.52129
1,2,2,9,1080.106
1,2,3,9,1074.54806
1,2,4,9,1072.613197
1,2,5,9,973.0352198
1,2,1,10,872.4385257
1,2,2,10,813.8357569
1,2,3,10,773.4219847
1,2,4,10,775.2475777
1,2,5,10,814.8085421
2,2,3,2,2169.128857
2,2,4,2,2161.662392
2,2,5,2,1920.024241
2,2,1,3,1127.32059
2,2,2,3,1111.721894
2,2,3,3,1131.021805
2,2,4,3,1132.224324
2,2,5,3,1150.561143
2,2,1,4,1171.911058
2,2,2,4,1224.280242
2,2,3,4,1202.67968
2,2,4,4,1201.098101
2,2,5,4,1164.312445
2,2,1,5,1179.677572
2,2,2,5,1249.52054
2,2,3,5,1222.915713
2,2,4,5,1221.086634
2,2,5,5,1166.871718
2,2,1,6,1179.837248
2,2,2,6,1251.600119
2,2,3,6,1234.612264
2,2,4,6,1232.718246
2,2,5,6,1170.305664
2,2,1,7,1168.02663
2,2,2,7,1245.661663
2,2,3,7,1240.026916
2,2,4,7,1237.574588
2,2,5,7,1163.031378
2,2,1,8,1141.707283
2,2,2,8,1230.367508
2,2,3,8,1232.408301
2,2,4,8,1229.623327
2,2,5,8,1139.769375
2,2,1,9,1080.105998
2,2,2,9,1174.413193
2,2,3,9,1171.736034
2,2,4,9,1170.036151
2,2,5,9,1072.742216
2,2,1,10,942.5517006
2,2,2,10,905.2167569
2,2,3,10,867.922021
2,2,4,10,869.924366
2,2,5,10,911.6927468
3,2,4,2,2242.170473
3,2,5,2,1986.457303
3,2,1,3,1154.616146
3,2,2,3,1135.835425
3,2,3,3,1119.327701
3,2,4,3,1120.515846
3,2,5,3,1146.94073
3,2,1,4,1162.833192
3,2,2,4,1207.492004
3,2,3,4,1223.95175
3,2,4,4,1221.798418
3,2,5,4,1179.701759
3,2,1,5,1165.056823
3,2,2,5,1224.71144
3,2,3,5,1248.961013
3,2,4,5,1246.879407
3,2,5,5,1188.848199
3,2,1,6,1165.573193
3,2,2,6,1231.469912
3,2,3,6,1254.89544
3,2,4,6,1253.349765
3,2,5,6,1190.444405
3,2,1,7,1156.267295
3,2,2,7,1232.206075
3,2,3,7,1254.340692
3,2,4,7,1252.507846
3,2,5,7,1180.269954
3,2,1,8,1133.023736
3,2,2,8,1222.89728
3,2,3,8,1242.558306
3,2,4,8,1240.268197
3,2,5,8,1153.641985
3,2,1,9,1074.548056
3,2,2,9,1171.736038
3,2,3,9,1179.337563
3,2,4,9,1177.948488
3,2,5,9,1084.294189
3,2,1,10,940.3348497
3,2,2,10,905.7841649
3,2,3,10,874.1040491
3,2,4,10,876.2821712
3,2,5,10,920.8922698
