Current,X,Y,Power
400,1,2,581.83509494204
400,1,3,184.654090101964
400,1,4,97.9275689137722
400,1,5,73.7033583254451
400,1,6,73.7033602550183
400,1,7,97.9275707195925
400,1,8,184.654097989186
400,1,9,581.835139033952
400,1,10,2910.53926173567
400,2,1,0.0031607807356338
400,2,2,0.00499509271045578
400,2,3,0.00582735555026108
400,2,4,0.00625674552199825
400,2,5,0.00787431625914852
400,2,6,0.00787431619450809
400,2,7,0.00625674573782023
400,2,8,0.00582735586268801
400,2,9,0.00499509280687491
400,2,10,0.00316078096573023
400,3,1,3.55179561619009e-10
400,3,2,1.2098372888307e-09
400,3,3,2.21398946317801e-09
400,3,4,3.06619356796567e-09
400,3,5,3.55169731196522e-09
400,3,6,3.55181926830818e-09
400,3,7,3.06615579684387e-09
400,3,8,2.21410714961465e-09
400,3,9,1.20972656993023e-09
400,3,10,3.55239555994862e-10
400,4,1,0.00315908995760639
400,4,2,0.00499088705440435
400,4,3,0.00582041615083964
400,4,4,0.00624787198429808
400,4,5,0.00643698763438719
400,4,6,0.00643698767087195
400,4,7,0.00624787223591178
400,4,8,0.00582041599471922
400,4,9,0.00499088708653052
400,4,10,0.0031590900470644
400,5,1,2910.66102131103
400,5,2,582.106061334152
400,5,3,184.555430246888
400,5,4,97.8173329859355
400,5,5,73.599829745787
400,5,6,73.599829820173
400,5,7,97.81733330991
400,5,8,184.555431281573
400,5,9,582.106066292392
400,5,10,2910.66105120827
500,1,1,5528.38037778003
500,1,2,918.12928325188
500,1,3,269.109017781224
500,1,4,142.349978150873
500,1,5,108.352385396871
500,1,6,108.352385839375
500,1,7,142.349982174041
500,1,8,269.109027048515
500,1,9,918.129284708588
500,1,10,5528.3803409142
500,2,1,0.213351930828874
500,2,2,12.1116093111068
500,2,3,26.4030778737004
500,2,4,31.1851510248487
500,2,5,32.0079398134109
500,2,6,32.0079399553445
500,2,7,31.185151357023
500,2,8,26.4030782427293
500,2,9,12.1116093948408
500,2,10,0.213351931674075
500,3,1,8.44086842633187e-05
500,3,2,0.00033607354795333
500,3,3,0.0006795705156576
500,3,4,0.000982212179766525
500,3,5,0.00115347207655451
500,3,6,0.00115347203022103
500,3,7,0.000982212194018427
500,3,8,0.00067957053936683
500,3,9,0.00033607348959735
500,3,10,8.44087051530943e-05
500,4,1,0.0662263293304725
500,4,2,2.2233078913187
500,4,3,3.63814737529668
500,4,4,3.72344304963369
500,4,5,3.59991021333033
500,4,6,3.59991021179593
500,4,7,3.7234430519993
500,4,8,3.63814737307547
500,4,9,2.22330788053275
500,4,10,0.0662263293166918
500,5,1,5531.74640822684
500,5,2,895.725668433955
500,5,3,243.62537671152
500,5,4,120.529352200045
500,5,5,88.4584254070796
500,5,6,88.4584254111951
500,5,7,120.529352205037
500,5,8,243.625376690766
500,5,9,895.725668326129
500,5,10,5531.74640933433
600,1,1,8375.61451882622
600,1,2,1491.69238604882
600,1,3,509.053120923296
600,1,4,309.429182167332
600,1,5,254.799283175224
600,1,6,254.799282817841
600,1,7,309.429180128613
600,1,8,509.053126300236
600,1,9,1491.6923962544
600,1,10,8375.61459240715
600,2,1,71.6871135947691
600,2,2,295.420271189764
600,2,3,218.661420918934
600,2,4,184.603755409879
600,2,5,174.542136357063
600,2,6,174.542136558241
600,2,7,184.603756081831
600,2,8,218.66142244614
600,2,9,295.420274184489
600,2,10,71.6871140754966
600,3,1,0.0024244636674361
600,3,2,1.03248821378533
600,3,3,36.4505665920405
600,3,4,90.0133386715668
600,3,5,116.302637659234
600,3,6,116.302637592147
600,3,7,90.0133385556453
600,3,8,36.4505666713357
600,3,9,1.03248821291361
600,3,10,0.00242446375700104
600,4,1,11.8073013029582
600,4,2,35.3257565304848
600,4,3,56.5072756448626
600,4,4,93.2801555970849
600,4,5,116.093558114008
600,4,6,116.093558144216
600,4,7,93.2801556875515
600,4,8,56.5072758944015
600,4,9,35.3257567410765
600,4,10,11.8073013774723
600,5,1,8314.94012694521
600,5,2,1244.37620907041
600,5,3,374.260377583835
600,5,4,227.317683295223
600,5,5,191.508785163188
600,5,6,191.508785348332
600,5,7,227.317683941876
600,5,8,374.26037918463
600,5,9,1244.37621627283
600,5,10,8314.94018564891
700,1,1,12720.2218559006
700,1,2,5464.64805396031
700,1,3,4733.97140495342
700,1,4,4652.39256316926
700,1,5,4641.3538856758
700,1,6,4641.35388567903
700,1,7,4652.39256318226
700,1,8,4733.97140496981
700,1,9,5464.64805397255
700,1,10,12720.2218559177
700,2,1,1174.9344578408
700,2,2,4006.55371078279
700,2,3,4586.24749594615
700,2,4,4636.39733168427
700,2,5,4638.91794705634
700,2,6,4638.91794705828
700,2,7,4636.39733169316
700,2,8,4586.24749595582
700,2,9,4006.5537107935
700,2,10,1174.93445784437
700,3,1,49.7282705703625
700,3,2,3435.51052514956
700,3,3,4533.67157403242
700,3,4,4629.95226551382
700,3,5,4637.73732956125
700,3,6,4637.73732956481
700,3,7,4629.9522655223
700,3,8,4533.67157404083
